date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:16	51688/51688	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-c9e8%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/index.html	(from )
12:32:17	69/69	---MCZ	200	added ('OK')	text/plain	date:Tue,%2003%20Sep%202019%2012:32:17%20GMT	http://www.urbanui.com/robots.txt		(from )
12:32:19	123195/123195	---MCZ	200	added ('OK')	text/css	etag:W/%225bf523f1-1e13b%22	http://www.urbanui.com/bogy/template/vendors/iconfonts/mdi/font/css/materialdesignicons.min.css	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/vendors/iconfonts/mdi/font/css/materialdesignicons.min.css	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:19	2444/2444	---MCZ	200	added ('OK')	text/css	etag:W/%225bf27d21-98c%22	http://www.urbanui.com/bogy/template/vendors/css/vendor.bundle.base.css	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/vendors/css/vendor.bundle.base.css	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:24	1460/1460	---M--	200	added ('OK')	image/png	etag:%225bf27d21-5b4%22	http://www.urbanui.com/bogy/template/images/favicon.png	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/images/favicon.png	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:25	303488/303488	---MCZ	200	added ('OK')	text/css	etag:W/%225bf27d21-4a180%22	http://www.urbanui.com/bogy/template/vendors/css/vendor.bundle.addons.css	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/vendors/css/vendor.bundle.addons.css	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:25	890260/890260	---MCZ	200	added ('OK')	text/css	etag:W/%225bfe9208-d9594%22	http://www.urbanui.com/bogy/template/css/vertical-layout-light/style.css	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/css/vertical-layout-light/style.css	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:25	11728/11728	---M--	200	added ('OK')	image/jpeg	etag:%225bf27d21-2dd0%22	http://www.urbanui.com/bogy/template/images/faces/face4.jpg	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/images/faces/face4.jpg	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:25	13360/13360	---M--	200	added ('OK')	image/jpeg	etag:%225bf27d21-3430%22	http://www.urbanui.com/bogy/template/images/faces/face2.jpg	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/images/faces/face2.jpg	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:26	46302/46302	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-b4de%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/widgets/widgets.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/widgets/widgets.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
